"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"0026200170","LOMA LA  [26200170]","Pluviométrica","Convencional","Activa","Antioquia","Venecia","    (-75.78333333, 5.95)","1,250","-75.78333333","5.95","15/01/1983",,"Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Cauca","Directos Río Cauca  entre Río San Juan y  Pto Valdivia","FEDERACIÓN NACIONAL DE CAFETEROS"
"2619000064","JARDIN - AUT  [2619000064]","Pluviográfica","Automática con Telemetría","Activa","Antioquia","Jardín","    (-75.813861111, 5.596583333)","1,801","-75.813861111","5.596583333","06/05/2013",,"Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Cauca","Río San Juan","CORPORACIÓN AUTÓNOMA REGIONAL DE ANTIOQUIA"
"0023090090","POZOS LOS [23090090]","Pluviométrica","Convencional","Suspendida","Antioquia","Puerto Berrío","    (-74.38333333, 6.5)","108","-74.38333333","6.5","15/06/1980","15/10/1988","Area Operativa 08 - Santanderes-Arauca",,"Magdalena Cauca","Medio Magdalena","Directos al Magdalena Medio entre ríos Negro","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0035267070","PUERTO INFANTE [35267070]","Limnimétrica","Convencional","Suspendida","Vichada","La Primavera","    (-70.03333333, 5.7)","85","-70.03333333","5.7","15/02/1983","15/11/1986","Area Operativa 03 - Meta-Guaviare-Guainía","META","Orinoco","Meta","Directos al Río Meta entre ríos Cusiana y Carare","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"2612700217","LA ESPAÑOLA [2612700217]","Limnimétrica","Automática con Telemetría","Activa","Quindío","Quimbaya","    (-75.850555556, 4.576666667)","985","-75.850555556","4.576666667","07/02/2022",,"Area Operativa 09 - Cauca-Valle-Caldas","LA VIEJA","Magdalena Cauca","Cauca","Río La Vieja","CORPORACIÓN AUTÓNOMA REGIONAL DEL QUINDÍO"
"2310000080","PUERTO BERRIO - AUT  [2310000080]","Pluviográfica","Automática con Telemetría","Activa","Antioquia","Puerto Berrío","    (-74.410166667, 6.492361111)","133","-74.410166667","6.492361111","12/03/2013",,"Area Operativa 08 - Santanderes-Arauca",,"Magdalena Cauca","Medio Magdalena","Rió San Bartolo y otros directos al Magdalena Medio","CORPORACIÓN AUTÓNOMA REGIONAL DE ANTIOQUIA"
"0035095100","GUAQUIRA  [35095100]","Meteorológica Especial","Convencional","Activa","Boyacá","Aquitania","    (-72.98333333, 5.466666667)","3,250","-72.98333333","5.466666667","15/11/1989",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Orinoco","Meta","Lago de Tota","CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA"
"0035027002","PARQUE RAFAEL NUÑEZ [35027002]","Climatológica Ordinaria","Automática con Telemetría","En Mantenimiento","Cundinamarca","Cáqueza","    (-73.9475, 4.407417)","1,671","-73.9475","4.407417","21/07/2012",,"Area Operativa 11 - Cundinamarca-Amazonas",,"Orinoco","Meta","Río Guayuriba","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"2402700307","PIRMA- 2 ENCINO [2402700307]","Limnimétrica","Automática con Telemetría","Activa","Santander","Encino","    (-73.112619444, 6.135536111)","1,575","-73.112619444","6.135536111","16/12/2023",,"Area Operativa 08 - Santanderes-Arauca","RIO PIENTA","Magdalena Cauca","Sogamoso","Río Fonce","CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER"
"3507500140","TURMEQUE JOYAGUA [35075120]","Climatológica Principal","Automática con Telemetría","Activa","Boyacá","Turmequé","    (-73.525841667, 5.277302778)","3,048","-73.525841667","5.277302778","01/02/2018",,"Area Operativa 06 - Boyacá-Casanare-Vichada",,"Orinoco","Meta","Río Garagoa","CORPORACIÓN AUTÓNOMA REGIONAL DE CHIVOR"
