layer,distance,elevation
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,950.318888718924,2562.46044921875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,976.261310879942,2561.34326171875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,994.142626058471,2561.35961914062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1011.89237582012,2560.92797851562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1036.86877527263,2561.90209960938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1064.15785955496,2561.7880859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1096.99114654913,2561.7880859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1102.84064345238,2561.32348632812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1132.7547398777,2561.68334960938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1163.24729745801,2561.33984375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1187.14651435402,2563.09619140625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1208.74461217242,2561.49560546875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1239.36090065926,2561.17407226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1270.2155053619,2563.69116210938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1302.77122372963,2563.69116210938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1304.25106685484,2560.95947265625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1335.33002431632,2560.0888671875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1365.95161958917,2560.21240234375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1397.49835416883,2560.05883789062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1427.87403077218,2560.498046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1457.76046712497,2559.99731445312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1477.67600513481,2560.62231445312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1500.07021281728,2559.63305664062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1523.59722095528,2560.11791992188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1543.57593526346,2559.828125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1566.21097580118,2560.29248046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1587.31058446157,2560.31713867188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1610.0919126882,2559.50659179688
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1628.3804124046,2560.14916992188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1654.04538277487,2559.66259765625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1674.02624461464,2559.66259765625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1697.1079737909,2560.5390625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1726.65450584965,2560.5390625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1759.57518116638,2560.67993164062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1790.07104096783,2560.43310546875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1820.55257183813,2566.65576171875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1849.50869767353,2567.29345703125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1875.03958566906,2567.72338867188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1892.33047333065,2565.55395507812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1905.98920984098,2568.18920898438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1932.24538766406,2563.6318359375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1962.3627787765,2564.30688476562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1990.11640816015,2560.44506835938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,1999.34276492837,2560.94604492188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2028.30805019051,2561.35498046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2057.59379522917,2560.70556640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2088.09885561518,2560.7265625
